"V1" "V2" "V3"
"1" "DPond_95_18" "Eukaryota" "Chordata"
"2" "DPond_95_56" "Eukaryota" "Arthropoda"
"3" "DPond_95_136" "Eukaryota" "Arthropoda"
"4" "DPond_95_137" "Eukaryota" "Arthropoda"
"5" "DPond_95_154" "Eukaryota" "Arthropoda"
"6" "DPond_95_161" "Eukaryota" "Arthropoda"
"7" "DPond_95_225" "Eukaryota" "Arthropoda"
"8" "DPond_95_236" "Bacteria" "Bacteroidetes"
"9" "DPond_95_259" "Eukaryota" "Arthropoda"
"10" "DPond_95_274" "Eukaryota" "Arthropoda"
"11" "DPond_95_283" "Eukaryota" "Arthropoda"
"12" "DPond_95_350" "Eukaryota" "Arthropoda"
"13" "DPond_95_376" "Eukaryota" "Arthropoda"
"14" "DPond_95_420" "Eukaryota" "Arthropoda"
"15" "DPond_95_427" "Eukaryota" "Arthropoda"
"16" "DPond_95_466" "Eukaryota" "Arthropoda"
"17" "DPond_95_467" "Eukaryota" "Streptophyta"
"18" "DPond_95_478" "Eukaryota" "Arthropoda"
"19" "DPond_95_533" "Eukaryota" "Arthropoda"
"20" "DPond_95_590" "Eukaryota" "Arthropoda"
"21" "DPond_95_615" "Eukaryota" "Arthropoda"
"22" "DPond_95_669" "Eukaryota" "Arthropoda"
"23" "DPond_95_687" "Eukaryota" "Streptophyta"
"24" "DPond_95_724" "Eukaryota" "Arthropoda"
"25" "DPond_95_738" "Eukaryota" "Streptophyta"
"26" "DPond_95_784" "Eukaryota" "Arthropoda"
"27" "DPond_95_818" "Eukaryota" "Nematoda"
"28" "DPond_95_823" "Eukaryota" "Streptophyta"
"29" "DPond_95_860" "Eukaryota" "Arthropoda"
"30" "DPond_95_891" "Eukaryota" "Arthropoda"
"31" "DPond_95_929" "Eukaryota" "Arthropoda"
"32" "DPond_95_976" "Eukaryota" "Arthropoda"
"33" "DPond_95_983" "Eukaryota" "Arthropoda"
"34" "DPond_95_993" "Eukaryota" "Chordata"
"35" "DPond_95_1004" "Eukaryota" "Arthropoda"
"36" "DPond_95_1039" "Eukaryota" "Arthropoda"
"37" "DPond_95_1082" "Eukaryota" "Chordata"
"38" "DPond_95_1120" "Eukaryota" "Arthropoda"
"39" "DPond_95_1126" "Eukaryota" "Arthropoda"
"40" "DPond_95_1216" "Eukaryota" "Arthropoda"
"41" "DPond_95_1236" "Eukaryota" "Arthropoda"
"42" "DPond_95_1247" "Eukaryota" "Chordata"
"43" "DPond_95_1253" "Eukaryota" "Arthropoda"
"44" "DPond_95_1273" "Eukaryota" "Arthropoda"
"45" "DPond_95_1318" "Eukaryota" "Arthropoda"
"46" "DPond_95_1419" "Eukaryota" "Arthropoda"
"47" "DPond_95_1426" "Eukaryota" "Arthropoda"
"48" "DPond_95_1451" "Eukaryota" "Arthropoda"
"49" "DPond_95_1480" "Eukaryota" "Arthropoda"
"50" "DPond_95_1496" "Eukaryota" "Arthropoda"
"51" "DPond_95_1556" "Eukaryota" "Arthropoda"
"52" "DPond_95_1569" "Eukaryota" "Streptophyta"
"53" "DPond_95_1596" "Eukaryota" "Chordata"
"54" "DPond_95_1633" "Eukaryota" "Arthropoda"
"55" "DPond_95_1652" "Eukaryota" "Arthropoda"
"56" "DPond_95_1681" "Eukaryota" "Arthropoda"
"57" "DPond_95_1696" "Eukaryota" "Arthropoda"
"58" "DPond_95_1699" "Eukaryota" "Arthropoda"
"59" "DPond_95_1700" "Eukaryota" "Arthropoda"
"60" "DPond_95_1747" "Eukaryota" "Arthropoda"
"61" "DPond_95_1750" "Eukaryota" "Arthropoda"
"62" "DPond_95_1832" "Eukaryota" "Chordata"
"63" "DPond_95_1868" "Eukaryota" "Arthropoda"
"64" "DPond_95_1872" "Eukaryota" "Arthropoda"
"65" "DPond_95_1892" "Eukaryota" "Arthropoda"
"66" "DPond_95_1942" "Eukaryota" "Arthropoda"
"67" "DPond_95_1954" "Eukaryota" "Arthropoda"
"68" "DPond_95_1982" "Eukaryota" "Arthropoda"
"69" "DPond_95_1993" "Eukaryota" "Chordata"
"70" "DPond_95_2006" "Eukaryota" "Arthropoda"
"71" "DPond_95_2047" "Eukaryota" "Streptophyta"
"72" "DPond_95_2072" "Eukaryota" "Arthropoda"
"73" "DPond_95_2103" "Eukaryota" "Arthropoda"
"74" "DPond_95_2202" "Eukaryota" "Arthropoda"
"75" "DPond_95_2210" "Eukaryota" "Arthropoda"
"76" "DPond_95_2260" "Eukaryota" "Chordata"
"77" "DPond_95_2286" "Eukaryota" "Arthropoda"
"78" "DPond_95_2301" "Eukaryota" "Arthropoda"
"79" "DPond_95_2307" "Eukaryota" "Arthropoda"
"80" "DPond_95_2314" "Eukaryota" "Arthropoda"
"81" "DPond_95_2315" "Eukaryota" "Arthropoda"
"82" "DPond_95_2338" "Eukaryota" "Chordata"
"83" "DPond_95_2348" "Eukaryota" "Chordata"
"84" "DPond_95_2436" "Eukaryota" "Arthropoda"
"85" "DPond_95_2446" "Eukaryota" "Arthropoda"
"86" "DPond_95_2487" "Eukaryota" "Arthropoda"
"87" "DPond_95_2518" "Eukaryota" "Arthropoda"
"88" "DPond_95_2550" "Eukaryota" "Arthropoda"
"89" "DPond_95_2601" "Eukaryota" "Arthropoda"
"90" "DPond_95_2624" "Eukaryota" "Nematoda"
"91" "DPond_95_2666" "Eukaryota" "Arthropoda"
"92" "DPond_95_2669" "Eukaryota" "Arthropoda"
"93" "DPond_95_2682" "Eukaryota" "Arthropoda"
"94" "DPond_95_2683" "Eukaryota" "Chordata"
"95" "DPond_95_2755" "Eukaryota" "Arthropoda"
"96" "DPond_95_2821" "Eukaryota" "Arthropoda"
"97" "DPond_95_2880" "Eukaryota" "Arthropoda"
"98" "DPond_95_3159" "Eukaryota" "Chordata"
"99" "DPond_95_3187" "Eukaryota" "Arthropoda"
"100" "DPond_95_3190" "Eukaryota" "Chordata"
"101" "DPond_95_3201" "Eukaryota" "Arthropoda"
"102" "DPond_95_3203" "Eukaryota" "Chordata"
"103" "DPond_95_3212" "Eukaryota" "Arthropoda"
"104" "DPond_95_3274" "Eukaryota" "Platyhelminthes"
"105" "DPond_95_3329" "Eukaryota" "Chordata"
