"V1" "V2" "V3"
"1" "DendroDenovo_95_5" "Eukaryota" "Arthropoda"
"2" "DendroDenovo_95_7" "Eukaryota" "Arthropoda"
"3" "DendroDenovo_95_16" "Eukaryota" "Arthropoda"
"4" "DendroDenovo_95_32" "Eukaryota" "Arthropoda"
"5" "DendroDenovo_95_33" "Eukaryota" "Arthropoda"
"6" "DendroDenovo_95_56" "Eukaryota" "Arthropoda"
"7" "DendroDenovo_95_58" "Eukaryota" "Arthropoda"
"8" "DendroDenovo_95_61" "Eukaryota" "Arthropoda"
"9" "DendroDenovo_95_84" "Eukaryota" "Arthropoda"
"10" "DendroDenovo_95_87" "Eukaryota" "Arthropoda"
"11" "DendroDenovo_95_89" "Eukaryota" "Arthropoda"
"12" "DendroDenovo_95_104" "Eukaryota" "Arthropoda"
"13" "DendroDenovo_95_110" "Eukaryota" "Arthropoda"
"14" "DendroDenovo_95_113" "Eukaryota" "Arthropoda"
"15" "DendroDenovo_95_121" "Eukaryota" "Arthropoda"
"16" "DendroDenovo_95_124" "Eukaryota" "Arthropoda"
"17" "DendroDenovo_95_132" "Eukaryota" "Arthropoda"
"18" "DendroDenovo_95_136" "Eukaryota" "multiple"
"19" "DendroDenovo_95_146" "Eukaryota" "Arthropoda"
"20" "DendroDenovo_95_150" "Eukaryota" "Arthropoda"
"21" "DendroDenovo_95_153" "Eukaryota" "Mollusca"
"22" "DendroDenovo_95_161" "Eukaryota" "Arthropoda"
"23" "DendroDenovo_95_163" "Eukaryota" "Arthropoda"
"24" "DendroDenovo_95_172" "Eukaryota" "Arthropoda"
"25" "DendroDenovo_95_174" "Eukaryota" "Arthropoda"
"26" "DendroDenovo_95_176" "Eukaryota" "Arthropoda"
"27" "DendroDenovo_95_197" "Eukaryota" "Arthropoda"
"28" "DendroDenovo_95_205" "Eukaryota" "Arthropoda"
"29" "DendroDenovo_95_212" "Eukaryota" "Arthropoda"
"30" "DendroDenovo_95_227" "Eukaryota" "Arthropoda"
"31" "DendroDenovo_95_248" "Eukaryota" "Arthropoda"
"32" "DendroDenovo_95_250" "Eukaryota" "Chordata"
"33" "DendroDenovo_95_253" "Eukaryota" "Arthropoda"
"34" "DendroDenovo_95_262" "Eukaryota" "Arthropoda"
"35" "DendroDenovo_95_266" "Eukaryota" "Arthropoda"
"36" "DendroDenovo_95_271" "Eukaryota" "Apicomplexa"
"37" "DendroDenovo_95_279" "Eukaryota" "Arthropoda"
"38" "DendroDenovo_95_300" "Eukaryota" "Arthropoda"
"39" "DendroDenovo_95_308" "Eukaryota" "Arthropoda"
"40" "DendroDenovo_95_313" "Eukaryota" "Arthropoda"
"41" "DendroDenovo_95_319" "Eukaryota" "Arthropoda"
"42" "DendroDenovo_95_323" "Eukaryota" "Arthropoda"
"43" "DendroDenovo_95_329" "Eukaryota" "Arthropoda"
"44" "DendroDenovo_95_334" "Eukaryota" "Arthropoda"
"45" "DendroDenovo_95_345" "Eukaryota" "Arthropoda"
"46" "DendroDenovo_95_349" "Eukaryota" "Arthropoda"
"47" "DendroDenovo_95_359" "Eukaryota" "Arthropoda"
"48" "DendroDenovo_95_366" "Eukaryota" "Arthropoda"
"49" "DendroDenovo_95_385" "Eukaryota" "Arthropoda"
"50" "DendroDenovo_95_398" "Eukaryota" "Arthropoda"
"51" "DendroDenovo_95_403" "Eukaryota" "Arthropoda"
"52" "DendroDenovo_95_410" "Eukaryota" "Arthropoda"
"53" "DendroDenovo_95_414" "Eukaryota" "Arthropoda"
"54" "DendroDenovo_95_417" "Eukaryota" "Arthropoda"
"55" "DendroDenovo_95_418" "Eukaryota" "Arthropoda"
"56" "DendroDenovo_95_433" "Eukaryota" "Arthropoda"
"57" "DendroDenovo_95_445" "Eukaryota" "Arthropoda"
"58" "DendroDenovo_95_456" "Eukaryota" "Arthropoda"
"59" "DendroDenovo_95_461" "Eukaryota" "Streptophyta"
"60" "DendroDenovo_95_463" "Eukaryota" "Arthropoda"
"61" "DendroDenovo_95_468" "Eukaryota" "Arthropoda"
"62" "DendroDenovo_95_474" "Eukaryota" "Arthropoda"
"63" "DendroDenovo_95_486" "Eukaryota" "Arthropoda"
"64" "DendroDenovo_95_487" "Eukaryota" "Arthropoda"
"65" "DendroDenovo_95_506" "Eukaryota" "Arthropoda"
"66" "DendroDenovo_95_516" "Eukaryota" "Arthropoda"
"67" "DendroDenovo_95_517" "Eukaryota" "Arthropoda"
"68" "DendroDenovo_95_520" "Eukaryota" "Arthropoda"
"69" "DendroDenovo_95_532" "Eukaryota" "Arthropoda"
"70" "DendroDenovo_95_538" "Eukaryota" "Arthropoda"
"71" "DendroDenovo_95_539" "Eukaryota" "Arthropoda"
"72" "DendroDenovo_95_549" "Eukaryota" "Arthropoda"
"73" "DendroDenovo_95_552" "Eukaryota" "Arthropoda"
"74" "DendroDenovo_95_567" "Eukaryota" "Arthropoda"
"75" "DendroDenovo_95_581" "Eukaryota" "Arthropoda"
"76" "DendroDenovo_95_590" "Eukaryota" "Mollusca"
"77" "DendroDenovo_95_592" "Eukaryota" "Arthropoda"
"78" "DendroDenovo_95_595" "Eukaryota" "Arthropoda"
"79" "DendroDenovo_95_599" "Eukaryota" "Arthropoda"
"80" "DendroDenovo_95_606" "Eukaryota" "Arthropoda"
"81" "DendroDenovo_95_608" "Eukaryota" "Arthropoda"
"82" "DendroDenovo_95_610" "Eukaryota" "Streptophyta"
"83" "DendroDenovo_95_620" "Eukaryota" "Arthropoda"
"84" "DendroDenovo_95_623" "Eukaryota" "Arthropoda"
"85" "DendroDenovo_95_624" "Eukaryota" "Arthropoda"
"86" "DendroDenovo_95_627" "Eukaryota" "Arthropoda"
"87" "DendroDenovo_95_630" "Eukaryota" "Arthropoda"
"88" "DendroDenovo_95_633" "Eukaryota" "Arthropoda"
"89" "DendroDenovo_95_635" "Eukaryota" "Arthropoda"
"90" "DendroDenovo_95_641" "Eukaryota" "Arthropoda"
"91" "DendroDenovo_95_660" "Eukaryota" "Arthropoda"
"92" "DendroDenovo_95_668" "Eukaryota" "Arthropoda"
"93" "DendroDenovo_95_675" "Eukaryota" "Arthropoda"
"94" "DendroDenovo_95_690" "Eukaryota" "Arthropoda"
"95" "DendroDenovo_95_691" "Eukaryota" "Chordata"
"96" "DendroDenovo_95_694" "Eukaryota" "Arthropoda"
"97" "DendroDenovo_95_699" "Eukaryota" "Arthropoda"
"98" "DendroDenovo_95_700" "Eukaryota" "Arthropoda"
"99" "DendroDenovo_95_705" "Eukaryota" "Arthropoda"
"100" "DendroDenovo_95_706" "Eukaryota" "multiple"
"101" "DendroDenovo_95_708" "Eukaryota" "Arthropoda"
"102" "DendroDenovo_95_719" "Eukaryota" "Ascomycota"
"103" "DendroDenovo_95_723" "Eukaryota" "Arthropoda"
"104" "DendroDenovo_95_729" "Eukaryota" "Arthropoda"
"105" "DendroDenovo_95_743" "Eukaryota" "Arthropoda"
"106" "DendroDenovo_95_757" "Eukaryota" "Streptophyta"
"107" "DendroDenovo_95_761" "Eukaryota" "Arthropoda"
"108" "DendroDenovo_95_764" "Eukaryota" "Arthropoda"
"109" "DendroDenovo_95_769" "Eukaryota" "Arthropoda"
"110" "DendroDenovo_95_776" "Eukaryota" "Arthropoda"
"111" "DendroDenovo_95_782" "Eukaryota" "Arthropoda"
"112" "DendroDenovo_95_785" "Eukaryota" "Arthropoda"
